x	y	z	t	dist
-1.44896	253.685	41.2641	12.866	11.2686
-1.35849	252.878	41.1377	12.9161	10.4606
-1.20089	251.99	40.9984	12.972	9.55847
-1.02751	251.142	40.8655	13.0256	8.69306
-0.762909	250.276	40.7298	13.0823	7.79132
-0.52677	249.464	40.6025	13.1353	6.94899
-0.272891	248.642	40.4737	13.1897	6.09436
0.0345715	247.824	40.3454	13.2445	5.23705
0.335298	247.07	40.2272	13.2962	4.45098
0.586028	246.252	40.0991	13.35	3.61571
0.849678	245.507	39.9823	13.4003	2.86435
1.13611	244.67	39.8511	13.4561	2.05458
1.32809	243.87	39.7257	13.5073	1.33561
1.4913	243.068	39.6001	13.5581	0.811746
1.6318	242.146	39.4555	13.6155	0.96905
1.6932	241.299	39.3228	13.6672	13.7038
1.73175	240.447	39.1893	13.7192	12.8746
1.73908	239.625	39.0604	13.7695	12.0707
1.71017	238.791	38.9297	13.8203	11.2503
1.63455	237.892	38.7889	13.8756	10.3586
1.54232	237.026	38.653	13.9288	9.49503
1.42451	236.157	38.5169	13.9823	8.6247
1.24528	235.256	38.3758	14.0387	7.70874
1.01988	234.366	38.2363	14.0949	6.7908
0.782073	233.489	38.0988	14.1513	5.88201
0.495272	232.696	37.9745	14.2028	5.0414
0.22608	231.866	37.8444	14.2575	4.17032
-0.0504674	231.06	37.718	14.3101	3.32125
-0.396805	230.224	37.587	14.3663	2.43346
-0.639863	229.451	37.4658	14.4163	1.63453
-0.873802	228.646	37.3396	14.4686	0.824826
-1.09191	227.765	37.2016	14.5246	0.297779
-1.23925	226.951	37.0741	14.5755	14.0951
-1.33421	226.079	36.9374	14.629	13.2479
-1.3932	225.192	36.7984	14.683	12.3837
-1.39767	224.328	36.6629	14.7356	11.5347
-1.35974	223.461	36.5271	14.7885	10.6776
-1.27598	222.632	36.3971	14.8397	9.84898
-1.13295	221.723	36.2547	14.8962	8.93058
-0.93263	220.843	36.1167	14.952	8.02784
-0.743738	220.008	35.9859	15.005	7.17196
-0.518113	219.23	35.8639	15.0558	6.36336
-0.247562	218.396	35.7332	15.1105	5.49229
0.0772523	217.588	35.6066	15.1648	4.64019
