x	y	z	t	dist
-0.938632	318.931	51.4902	13.7348	2.19761
-0.85309	318.396	51.4064	13.7879	1.65911
-0.741221	317.863	51.3229	13.8409	1.12672
-0.596201	317.339	51.2407	13.8946	0.634627
-0.472532	316.807	51.1572	13.9486	0.334546
-0.304088	316.293	51.0767	14.0021	-1
-0.167882	315.779	50.9961	14.0542	13.893
-0.0214451	315.219	50.9084	14.1114	13.3251
0.142553	314.706	50.828	14.1647	12.8035
0.280656	314.198	50.7484	14.2171	12.2898
0.419615	313.71	50.6718	14.2677	11.7961
0.549947	313.195	50.5911	14.3207	11.2778
0.702899	312.66	50.5074	14.3757	10.7413
0.80883	312.145	50.4266	14.4278	10.2252
0.922901	311.631	50.3461	14.48	9.71266
1.056	311.09	50.2612	14.5346	9.17392
1.14975	310.551	50.1768	14.5883	8.63858
1.25652	309.986	50.0882	14.6445	8.07928
1.33279	309.46	50.0057	14.6965	7.55905
1.3926	308.92	49.9211	14.7496	7.02528
1.44812	308.384	49.8371	14.8021	6.49646
1.47965	307.821	49.749	14.8569	5.94095
1.49935	307.292	49.666	14.9085	5.41779
1.50572	306.779	49.5856	14.9587	4.91041
1.49693	306.25	49.5027	15.0106	4.38626
1.46581	305.717	49.4191	15.0626	3.85544
1.42634	305.181	49.335	15.1151	3.32059
1.37503	304.66	49.2536	15.1662	2.80064
1.30538	304.136	49.1714	15.2181	2.27362
1.21984	303.614	49.0895	15.2702	1.74534
1.10721	303.088	49.007	15.3232	1.20793
0.991288	302.536	48.9206	15.3786	0.645685
0.88061	302.019	48.8396	15.4312	0.128354
0.7228	301.513	48.7603	15.4835	-1
0.591226	301.011	48.6816	15.5353	13.9806
0.452483	300.465	48.5959	15.591	13.4231
0.286821	299.954	48.5159	15.6441	12.8999
0.142203	299.473	48.4405	15.6944	12.4089
-0.00182166	298.974	48.3623	15.7465	11.9008
-0.134314	298.485	48.2856	15.7975	11.404
-0.268966	297.949	48.2016	15.8522	10.8617
-0.412905	297.453	48.124	15.9025	10.3606
-0.525024	296.946	48.0445	15.9536	9.84997
-0.650849	296.409	47.9603	16.0081	9.31009
-0.769953	295.861	47.8743	16.0631	8.7607
-0.866754	295.338	47.7924	16.1151	8.23806
-0.945319	294.828	47.7125	16.1653	7.72949
-1.00689	294.278	47.6263	16.2188	7.18096
-1.06624	293.694	47.5348	16.2759	6.59955
-1.09521	293.12	47.4448	16.3319	6.02756
-1.11476	292.591	47.3619	16.3831	5.50038
-1.11202	292.01	47.2708	16.4394	4.91957
-1.08622	291.459	47.1844	16.4931	4.36803
-1.04583	290.891	47.0954	16.5485	3.79876
-0.985898	290.366	47.0132	16.6002	3.27143
-0.903518	289.815	46.9268	16.6543	2.71724
-0.817994	289.24	46.8366	16.7107	2.13969
